Word,Context/Sentence
Round 1 (1 pt),
holiday,
mitten,
neighbor,
jewelry,
Ornament,"A decoration. ""That ornament has been in the family since 1974."""
Pakistan,
Chocolate,
scissors,
embarrass,
chipmunk,
Round 2 (2 pt),
Caribbean,"A region/sea. ""I wish this holiday party was taking place in the Caribbean."""
Pharaoh,"An ancient Egyptian ruler. ""He dressed up as a pharaoh for the 'Holiday History' party."""
conscience,
Mistletoe,"A parasitic plant used for kissing. ""Stand under the mistletoe at your own risk."""
Gobbledygook,
Occurrence,"Something that happens. ""Uncle Bob falling into the tree is an annual occurrence."""
grateful,
nincompoop,
hullabaloo,
whippersnapper,
Bupkis,
Round 3 (5 pt),
handkerchief,
Pterodactyl,"A prehistoric flying reptile. ""Why is there a pterodactyl on top of the tree?"""
Silhouette,"A dark shape against light. ""I saw the silhouette of Santa on the roof."""
Maneuver,"(Or Manoeuvre) A skillful movement. ""It took a clever manoeuvre to fit the ham in the oven."""
sacrilegious,
bodacious,
Conscientious,"Wishing to do what is right. ""Be conscientious about how much eggnog you drink."""
fluorescent,
Hierarchy,
croissant,
Round 4 (10 pt),
Bourgeois,"Characterized by middle-class materialistic values. ""This artisanal cheese is very bourgeois."""
Dachshund,"A breed of dog. ""The dachshund is wearing a very small sweater."""
Onomatopoeia,"A word that mimics a sound. ""'Sizzle' is an onomatopoeia for the latkes frying."""
rendezvous,
Liaison,"A person who acts as a link. ""The toddler acted as a liaison between us and the cookies."""
cattywampus,
rambunctious,
discombobulated,
kerfuffle,
Snollygoster,
F*** You (15 pt),
Sesquipedalian,"Characterized by long words. ""This spelling bee is for the sesquipedalian guests."""
floccinaucinihilipilification,
honorificabilitudinitatibus,
triskaidekaphobia,

